path,label,start,stop,subset
three/131e738d_nohash_3.wav,-1,-1,-1,0
bird/f6581345_nohash_0.wav,-1,-1,-1,0
zero/8dd788d8_nohash_2.wav,-1,-1,-1,0
stop/71904de3_nohash_1.wav,1,-1,-1,0
off/ec201020_nohash_0.wav,-1,-1,-1,0
right/cce17a61_nohash_0.wav,-1,-1,-1,0
happy/1ecfb537_nohash_0.wav,-1,-1,-1,0
on/4634529e_nohash_0.wav,-1,-1,-1,0
_background_noise_/exercise_bike.wav,0,403102,419102,0
off/d3831f6a_nohash_1.wav,-1,-1,-1,0
stop/5c8af87a_nohash_1.wav,1,-1,-1,0
_background_noise_/running_tap.wav,0,895414,911414,0
_background_noise_/exercise_bike.wav,0,786772,802772,0
_background_noise_/exercise_bike.wav,0,798998,814998,0
go/563aa4e6_nohash_4.wav,-1,-1,-1,0
_background_noise_/doing_the_dishes.wav,0,817266,833266,0
up/6ac35824_nohash_0.wav,-1,-1,-1,0
stop/9a8d8d34_nohash_0.wav,1,-1,-1,0
nine/e41a903b_nohash_2.wav,-1,-1,-1,0
_background_noise_/running_tap.wav,0,509154,525154,0
_background_noise_/pink_noise.wav,0,183140,199140,0
two/122c5aa7_nohash_4.wav,-1,-1,-1,0
_background_noise_/dude_miaowing.wav,0,125678,141678,0
_background_noise_/doing_the_dishes.wav,0,1041726,1057726,0
_background_noise_/dude_miaowing.wav,0,914486,930486,0
six/f68160c0_nohash_0.wav,-1,-1,-1,0
_background_noise_/running_tap.wav,0,687398,703398,0
go/c0c701f1_nohash_1.wav,-1,-1,-1,0
stop/4c6944d6_nohash_4.wav,1,-1,-1,0
_background_noise_/pink_noise.wav,0,653608,669608,0
stop/b36c27c2_nohash_0.wav,1,-1,-1,0
stop/44e9d8d2_nohash_0.wav,1,-1,-1,0
off/d7ca14ef_nohash_0.wav,-1,-1,-1,0
seven/3a69f765_nohash_0.wav,-1,-1,-1,0
four/beb458a4_nohash_1.wav,-1,-1,-1,0
two/6ef407da_nohash_1.wav,-1,-1,-1,0
stop/c2dccf38_nohash_0.wav,1,-1,-1,0
six/779de043_nohash_0.wav,-1,-1,-1,0
backward/9f93e408_nohash_1.wav,-1,-1,-1,0
_background_noise_/pink_noise.wav,0,862622,878622,0
visual/472b8045_nohash_2.wav,-1,-1,-1,0
_background_noise_/pink_noise.wav,0,384810,400810,0
go/f2e59fea_nohash_3.wav,-1,-1,-1,0
seven/c948d727_nohash_4.wav,-1,-1,-1,0
up/cce7416f_nohash_8.wav,-1,-1,-1,0
five/39a12648_nohash_0.wav,-1,-1,-1,0
visual/3b3d2f59_nohash_1.wav,-1,-1,-1,0
seven/71d0ded4_nohash_3.wav,-1,-1,-1,0
_background_noise_/running_tap.wav,0,916212,932212,0
_background_noise_/pink_noise.wav,0,208176,224176,0
three/d0faf7e4_nohash_3.wav,-1,-1,-1,0
two/f810e799_nohash_0.wav,-1,-1,-1,0
_background_noise_/running_tap.wav,0,459958,475958,0
house/a902ce9b_nohash_1.wav,-1,-1,-1,0
_background_noise_/dude_miaowing.wav,0,592666,608666,0
_background_noise_/running_tap.wav,0,632884,648884,0
_background_noise_/doing_the_dishes.wav,0,1390998,1406998,0
_background_noise_/doing_the_dishes.wav,0,755610,771610,0
yes/8b367d88_nohash_1.wav,-1,-1,-1,0
two/035de8fe_nohash_0.wav,-1,-1,-1,0
one/3bc21161_nohash_1.wav,-1,-1,-1,0
stop/f5496439_nohash_0.wav,1,-1,-1,0
sheila/e900b652_nohash_2.wav,-1,-1,-1,0
one/9c06a3f3_nohash_1.wav,-1,-1,-1,0
four/6565a81d_nohash_2.wav,-1,-1,-1,0
cat/50a7d406_nohash_1.wav,-1,-1,-1,0
_background_noise_/white_noise.wav,0,276370,292370,0
stop/d3f22f0e_nohash_1.wav,1,-1,-1,0
house/e1469561_nohash_0.wav,-1,-1,-1,0
_background_noise_/pink_noise.wav,0,920694,936694,0
five/1b18600d_nohash_0.wav,-1,-1,-1,0
four/a243fcc2_nohash_0.wav,-1,-1,-1,0
off/f30285c8_nohash_1.wav,-1,-1,-1,0
down/f8ba7c0e_nohash_1.wav,-1,-1,-1,0
cat/0b7ee1a0_nohash_0.wav,-1,-1,-1,0
_background_noise_/pink_noise.wav,0,623772,639772,0
_background_noise_/exercise_bike.wav,0,704490,720490,0
stop/5ac04a92_nohash_0.wav,1,-1,-1,0
happy/879a2b38_nohash_0.wav,-1,-1,-1,0
nine/5f9cd2eb_nohash_3.wav,-1,-1,-1,0
house/44bc77f7_nohash_0.wav,-1,-1,-1,0
_background_noise_/pink_noise.wav,0,64114,80114,0
stop/7fb8d703_nohash_4.wav,1,-1,-1,0
_background_noise_/doing_the_dishes.wav,0,813658,829658,0
marvin/78622c2b_nohash_0.wav,-1,-1,-1,0
happy/2296b1af_nohash_0.wav,-1,-1,-1,0
yes/8281a2a8_nohash_2.wav,-1,-1,-1,0
backward/ed032775_nohash_1.wav,-1,-1,-1,0
stop/08ab231c_nohash_0.wav,1,-1,-1,0
bed/a9abc695_nohash_1.wav,-1,-1,-1,0
right/db8a3397_nohash_1.wav,-1,-1,-1,0
wow/61d3e51e_nohash_0.wav,-1,-1,-1,0
stop/f5733968_nohash_1.wav,1,-1,-1,0
wow/948867e7_nohash_1.wav,-1,-1,-1,0
stop/8442ea62_nohash_2.wav,1,-1,-1,0
stop/3a789a0d_nohash_0.wav,1,-1,-1,0
seven/1b88bf70_nohash_0.wav,-1,-1,-1,0
go/a9ca1818_nohash_1.wav,-1,-1,-1,0
_background_noise_/doing_the_dishes.wav,0,1304996,1320996,0
_background_noise_/exercise_bike.wav,0,527134,543134,0
_background_noise_/dude_miaowing.wav,0,488014,504014,0
stop/3bb68054_nohash_2.wav,1,-1,-1,0
nine/3a929277_nohash_1.wav,-1,-1,-1,0
stop/ff4ed4f3_nohash_0.wav,1,-1,-1,0
_background_noise_/doing_the_dishes.wav,0,1187482,1203482,0
go/9f92fb7c_nohash_1.wav,-1,-1,-1,0
marvin/0c2ca723_nohash_0.wav,-1,-1,-1,0
stop/abbfc3b4_nohash_1.wav,1,-1,-1,0
follow/ebdd0f59_nohash_0.wav,-1,-1,-1,0
left/00176480_nohash_0.wav,-1,-1,-1,0
_background_noise_/dude_miaowing.wav,0,545464,561464,0
bed/951cac20_nohash_1.wav,-1,-1,-1,0
_background_noise_/dude_miaowing.wav,0,701400,717400,0
stop/07ad9b59_nohash_0.wav,1,-1,-1,0
_background_noise_/pink_noise.wav,0,926138,942138,0
stop/e3e0f145_nohash_3.wav,1,-1,-1,0
_background_noise_/exercise_bike.wav,0,686144,702144,0
cat/b59fa113_nohash_0.wav,-1,-1,-1,0
yes/cb164eea_nohash_2.wav,-1,-1,-1,0
